Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2021-01-02,All I Want For Christmas Is You,Mariah Carey,1,False,,1,2,43
2021-01-02,Rockin' Around The Christmas Tree,Brenda Lee,2,False,,2,3,38
2021-01-02,Jingle Bell Rock,Bobby Helms,3,False,,3,4,35
2021-01-02,A Holly Jolly Christmas,Burl Ives,4,False,,4,6,19
2021-01-02,It's The Most Wonderful Time Of The Year,Andy Williams,5,False,,5,7,20
2021-01-02,Feliz Navidad,Jose Feliciano,6,False,,6,10,14
2021-01-02,Mood,24kGoldn Featuring iann dior,7,False,,1,5,20
2021-01-02,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,8,False,,8,11,13
2021-01-02,Last Christmas,Wham!,9,False,,9,14,19
2021-01-02,Run Rudolph Run,Chuck Berry,10,False,,10,29,8
2021-01-02,The Christmas Song (Merry Christmas To You),Nat King Cole,11,False,,11,15,26
2021-01-02,Underneath The Tree,Kelly Clarkson,12,False,,12,28,9
2021-01-02,Sleigh Ride,The Ronettes,13,False,,13,19,11
2021-01-02,Positions,Ariana Grande,14,False,,1,8,9
2021-01-02,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,15,False,,12,12,8
2021-01-02,Rudolph The Red-Nosed Reindeer,Gene Autry,16,False,,16,31,12
2021-01-02,Santa Tell Me,Ariana Grande,17,False,,17,32,8
2021-01-02,Happy Holiday / The Holiday Season,Andy Williams,18,False,,18,26,8
2021-01-02,Christmas (Baby Please Come Home),Darlene Love,19,False,,19,37,7
2021-01-02,White Christmas,Bing Crosby,20,False,,12,38,20
2021-01-02,Holy,Justin Bieber Featuring Chance The Rapper,21,False,,3,13,14
2021-01-02,(There's No Place Like) Home For The Holidays,Perry Como,22,False,,22,43,7
2021-01-02,It's Beginning To Look A Lot Like Christmas,Michael Buble,23,False,,23,42,5
2021-01-02,Go Crazy,Chris Brown & Young Thug,24,False,,9,16,33
2021-01-02,Laugh Now Cry Later,Drake Featuring Lil Durk,25,False,,2,17,19
2021-01-02,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,26,False,,26,69,10
2021-01-02,Levitating,Dua Lipa Featuring DaBaby,27,False,,20,27,12
2021-01-02,Wonderful Christmastime,Paul McCartney,28,False,,28,46,4
2021-01-02,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,29,False,,6,25,25
2021-01-02,I Hope,Gabby Barrett Featuring Charlie Puth,30,False,,3,20,52
2021-01-02,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,31,False,,6,24,19
2021-01-02,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,32,False,,32,0,2
2021-01-02,Blue Christmas,Elvis Presley,33,False,,33,0,3
2021-01-02,Dakiti,Bad Bunny & Jhay Cortez,34,False,,5,23,8
2021-01-02,Body,Megan Thee Stallion,35,False,,12,22,5
2021-01-02,Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,36,True,,36,0,1
2021-01-02,Bang!,AJR,37,False,,24,33,25
2021-01-02,Willow,Taylor Swift,38,False,,1,1,2
2021-01-02,This Christmas,Donny Hathaway,39,True,,39,0,1
2021-01-02,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,40,False,,8,35,8
2021-01-02,Kings & Queens,Ava Max,41,False,,13,30,20
2021-01-02,Therefore I Am,Billie Eilish,42,False,,2,36,7
2021-01-02,Deck The Halls,Nat King Cole,43,False,,43,47,2
2021-01-02,Dynamite,BTS,44,False,,1,9,18
2021-01-02,Please Come Home For Christmas,Eagles,45,False,,18,0,9
2021-01-02,Santa Claus Is Comin' To Town,Jackson 5,46,True,,46,0,1
2021-01-02,Little Saint Nick,The Beach Boys,47,True,,47,0,1
2021-01-02,Take Me Home For Christmas,Dan + Shay,48,False,,48,58,3
2021-01-02,Have Yourself A Merry Little Christmas,Michael Buble,49,True,,49,0,1
2021-01-02,I'll Be Home For Christmas,Bing Crosby,50,True,,50,0,1
2021-01-02,What You Know Bout Love,Pop Smoke,51,False,,25,48,16
2021-01-02,Whoopty,CJ,52,False,,51,53,7
2021-01-02,Lonely,Justin Bieber & benny blanco,53,False,,14,51,10
2021-01-02,Hallelujah,Carrie Underwood & John Legend,54,False,,54,84,3
2021-01-02,WAP,Cardi B Featuring Megan Thee Stallion,55,False,,1,55,20
2021-01-02,Holiday,Lil Nas X,56,False,,37,56,6
2021-01-02,Better Together,Luke Combs,57,False,,30,59,12
2021-01-02,On Me,Lil Baby,58,False,,30,60,3
2021-01-02,Afterglow,Ed Sheeran,59,True,,59,0,1
2021-01-02,Gnat,Eminem,60,True,,60,0,1
2021-01-02,Rockin' Around The Christmas Tree,Justin Bieber,61,False,,61,87,4
2021-01-02,Favorite Time Of Year,Carrie Underwood,62,False,,62,99,4
2021-01-02,Hawai,Maluma & The Weeknd,63,False,,12,65,18
2021-01-02,Monster,Shawn Mendes & Justin Bieber,64,False,,8,62,5
2021-01-02,Diamonds,Sam Smith,65,False,,40,66,14
2021-01-02,Starting Over,Chris Stapleton,66,False,,25,72,17
2021-01-02,Cry Baby,Megan Thee Stallion Featuring DaBaby,67,False,,67,95,3
2021-01-02,You Broke Me First.,Tate McRae,68,False,,50,79,18
2021-01-02,My Ex's Best Friend,Machine Gun Kelly X blackbear,69,False,,28,86,19
2021-01-02,Without You,The Kid LAROI,70,False,,63,81,3
2021-01-02,"Big, Big Plans",Chris Lane,71,False,,42,73,12
2021-01-02,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,72,False,,10,88,12
2021-01-02,Forever After All,Luke Combs,73,False,,2,92,9
2021-01-02,Throat Baby (Go Baby),BRS Kash,74,False,,69,97,10
2021-01-02,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,75,False,,59,0,3
2021-01-02,Tyler Herro,Jack Harlow,76,False,,34,77,9
2021-01-02,Champagne Problems,Taylor Swift,77,False,,21,21,2
2021-01-02,The First Noel,Gabby Barrett,78,True,,78,0,1
2021-01-02,Love You Like I Used To,Russell Dickerson,79,False,,31,83,16
2021-01-02,Champagne Night,Lady A,80,False,,75,0,9
2021-01-02,Prisoner,Miley Cyrus Featuring Dua Lipa,81,False,,54,94,5
2021-01-02,Good Time,Niko Moon,82,False,,71,96,12
2021-01-02,7 Summers,Morgan Wallen,83,False,,6,0,18
2021-01-02,Adderall (Corvette Corvette),Popp Hunna,84,True,,84,0,1
2021-01-02,You're Mines Still,Yung Bleu Featuring Drake,85,False,,52,0,3
2021-01-02,Tequila Shots,Kid Cudi,86,False,,41,41,2
2021-01-02,Back To The Streets,Saweetie Featuring Jhene Aiko,87,False,,76,0,5
2021-01-02,Bichota,Karol G,88,False,,88,0,4
2021-01-02,Way Out,Jack Harlow Featuring Big Sean,89,False,,74,74,2
2021-01-02,Hit Different,SZA Featuring Ty Dolla $ign,90,False,,29,0,15
2021-01-02,'Tis The Damn Season,Taylor Swift,91,False,,39,39,2
2021-01-02,Damage,H.E.R.,92,False,,70,0,2
2021-01-02,Backdoor,Lil Durk,93,True,,93,0,1
2021-01-02,Silent Night,Carrie Underwood,94,False,,94,0,2
2021-01-02,Golden,Harry Styles,95,False,,74,0,9
2021-01-02,Hole In The Bottle,Kelsea Ballerini,96,False,,72,0,10
2021-01-02,"No Body, No Crime",Taylor Swift Featuring HAIM,97,False,,34,34,2
2021-01-02,Moonwalking In Calabasas,DDG,98,True,,98,0,1
2021-01-02,Took Her To The O,King Von,99,False,,47,0,6
2021-01-02,Put Your Records On,Ritt Momney,100,False,,79,0,10
2021-01-09,Mood,24kGoldn Featuring iann dior,1,False,,1,7,21
2021-01-09,Positions,Ariana Grande,2,False,,1,14,10
2021-01-09,Blinding Lights,The Weeknd,3,False,,1,0,56
2021-01-09,Holy,Justin Bieber Featuring Chance The Rapper,4,False,,3,21,15
2021-01-09,Dynamite,BTS,5,False,,1,44,19
2021-01-09,Go Crazy,Chris Brown & Young Thug,6,False,,6,24,34
2021-01-09,Laugh Now Cry Later,Drake Featuring Lil Durk,7,False,,2,25,20
2021-01-09,I Hope,Gabby Barrett Featuring Charlie Puth,8,False,,3,30,53
2021-01-09,All I Want For Christmas Is You,Mariah Carey,9,False,,1,1,44
2021-01-09,Levitating,Dua Lipa Featuring DaBaby,10,False,,10,27,13
2021-01-09,Bang!,AJR,11,False,,11,37,26
2021-01-09,Rockin' Around The Christmas Tree,Brenda Lee,12,False,,2,2,39
2021-01-09,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,13,False,,6,29,26
2021-01-09,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,14,False,,6,31,20
2021-01-09,Jingle Bell Rock,Bobby Helms,15,False,,3,3,36
2021-01-09,Kings & Queens,Ava Max,16,False,,13,41,21
2021-01-09,A Holly Jolly Christmas,Burl Ives,17,False,,4,4,20
2021-01-09,Therefore I Am,Billie Eilish,18,False,,2,42,8
2021-01-09,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,19,False,,8,40,9
2021-01-09,Dakiti,Bad Bunny & Jhay Cortez,20,False,,5,34,9
2021-01-09,Body,Megan Thee Stallion,21,False,,12,35,6
2021-01-09,What You Know Bout Love,Pop Smoke,22,False,,22,51,17
2021-01-09,Willow,Taylor Swift,23,False,,1,38,3
2021-01-09,Better Together,Luke Combs,24,False,,24,57,13
2021-01-09,Lonely,Justin Bieber & benny blanco,25,False,,14,53,11
2021-01-09,Rockstar,DaBaby Featuring Roddy Ricch,26,False,,1,0,36
2021-01-09,Whoopty,CJ,27,False,,27,52,8
