Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2019-01-05,"Thank U, Next",Ariana Grande,1,False,,1,1,8
2019-01-05,Without Me,Halsey,2,False,,2,2,12
2019-01-05,All I Want For Christmas Is You,Mariah Carey,3,False,,3,7,30
2019-01-05,Sicko Mode,Travis Scott,4,False,,1,3,21
2019-01-05,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,5,False,,4,4,10
2019-01-05,High Hopes,Panic! At The Disco,6,False,,5,6,21
2019-01-05,Happier,Marshmello & Bastille,7,False,,3,5,19
2019-01-05,Jingle Bell Rock,Bobby Helms,8,False,,8,13,25
2019-01-05,Rockin' Around The Christmas Tree,Brenda Lee,9,False,,9,11,27
2019-01-05,A Holly Jolly Christmas,Burl Ives,10,False,,10,12,10
2019-01-05,The Christmas Song (Merry Christmas To You),Nat King Cole,11,False,,11,17,17
2019-01-05,Drip Too Hard,Lil Baby & Gunna,12,False,,4,9,15
2019-01-05,It's The Most Wonderful Time Of The Year,Andy Williams,13,False,,10,10,10
2019-01-05,Girls Like You,Maroon 5 Featuring Cardi B,14,False,,1,15,31
2019-01-05,ZEZE,Kodak Black Featuring Travis Scott & Offset,15,False,,2,8,11
2019-01-05,Rudolph The Red-Nosed Reindeer,Gene Autry,16,False,,16,28,4
2019-01-05,Mo Bamba,Sheck Wes,17,False,,6,16,18
2019-01-05,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,18,False,,11,14,15
2019-01-05,Money,Cardi B,19,False,,13,30,10
2019-01-05,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,False,,20,32,4
2019-01-05,Eastside,"benny blanco, Halsey & Khalid",21,False,,16,18,24
2019-01-05,Breathin,Ariana Grande,22,False,,12,19,19
2019-01-05,Better Now,Post Malone,23,False,,3,21,35
2019-01-05,Youngblood,5 Seconds Of Summer,24,False,,7,20,30
2019-01-05,Last Christmas,Wham!,25,False,,25,27,9
