Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2017-01-07,Starboy,The Weeknd Featuring Daft Punk,1,False,,1,2,14
2017-01-07,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2,False,,1,1,15
2017-01-07,Closer,The Chainsmokers Featuring Halsey,3,False,,1,3,21
2017-01-07,24K Magic,Bruno Mars,4,False,,4,4,11
2017-01-07,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,False,,5,8,13
2017-01-07,Side To Side,Ariana Grande Featuring Nicki Minaj,6,False,,4,5,17
2017-01-07,Let Me Love You,DJ Snake Featuring Justin Bieber,7,False,,4,9,20
2017-01-07,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,8,False,,7,10,11
2017-01-07,Bad Things,Machine Gun Kelly x Camila Cabello,9,False,,9,14,8
2017-01-07,Fake Love,Drake,10,False,,10,12,9
2017-01-07,Caroline,Amine,11,False,,11,16,16
2017-01-07,Heathens,twenty one pilots,12,False,,2,15,27
2017-01-07,Bad And Boujee,Migos Featuring Lil Uzi Vert,13,False,,13,26,6
2017-01-07,Scars To Your Beautiful,Alessia Cara,14,False,,13,18,17
2017-01-07,Broccoli,D.R.A.M. Featuring Lil Yachty,15,False,,5,17,28
2017-01-07,All I Want For Christmas Is You,Mariah Carey,16,False,,11,20,18
2017-01-07,Starving,Hailee Steinfeld & Grey Featuring Zedd,17,False,,12,19,21
2017-01-07,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,18,False,,6,6,2
2017-01-07,OOOUUU,Young M.A,19,False,,19,47,17
2017-01-07,Love On The Brain,Rihanna,20,False,,20,27,10
2017-01-07,Bounce Back,Big Sean,21,False,,21,31,7
2017-01-07,The Greatest,Sia Featuring Kendrick Lamar,22,False,,18,28,16
2017-01-07,Hallelujah,Pentatonix,23,False,,23,45,9
2017-01-07,All Time Low,Jon Bellion,24,False,,24,36,11
2017-01-07,I Feel It Coming,The Weeknd Featuring Daft Punk,25,False,,22,33,5
2017-01-07,Treat You Better,Shawn Mendes,26,False,,6,32,29
2017-01-07,Rockin' Around The Christmas Tree,Brenda Lee,27,False,,14,48,18
2017-01-07,Mercy,Shawn Mendes,28,False,,28,44,14
2017-01-07,Jingle Bell Rock,Bobby Helms,29,False,,29,46,19
2017-01-07,In The Name Of Love,Martin Garrix & Bebe Rexha,30,False,,24,35,19
2017-01-07,I Hate U I Love U,gnash Featuring Olivia O'Brien,31,False,,10,25,36
2017-01-07,Can't Stop The Feeling!,Justin Timberlake,32,False,,1,39,33
2017-01-07,Blue Ain't Your Color,Keith Urban,33,False,,24,38,15
2017-01-07,Don't Let Me Down,The Chainsmokers Featuring Daya,34,False,,3,43,45
2017-01-07,Deja Vu,J. Cole,35,False,,7,7,2
2017-01-07,Cheap Thrills,Sia Featuring Sean Paul,36,False,,1,41,45
2017-01-07,This Town,Niall Horan,37,False,,25,50,13
2017-01-07,Cold Water,Major Lazer Featuring Justin Bieber & MO,38,False,,2,40,22
2017-01-07,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,39,False,,29,49,21
2017-01-07,Love Me Now,John Legend,40,False,,23,37,9
2017-01-07,Both,Gucci Mane Featuring Drake,41,True,,41,0,1
2017-01-07,Unsteady,X Ambassadors,42,False,,20,42,32
2017-01-07,X,21 Savage & Metro Boomin Featuring Future,43,False,,36,51,15
2017-01-07,Feliz Navidad,Jose Feliciano,44,True,,44,0,1
2017-01-07,"Mary, Did You Know?",Pentatonix,45,False,,26,0,7
2017-01-07,A Holly Jolly Christmas,Burl Ives,46,True,,46,0,1
2017-01-07,The Christmas Song (Merry Christmas To You),Nat King Cole,47,False,,38,0,8
2017-01-07,It's The Most Wonderful Time Of The Year,Andy Williams,48,True,,48,0,1
2017-01-07,Party Monster,The Weeknd,49,False,,16,53,5
2017-01-07,Last Christmas,Wham!,50,True,,50,0,1
2017-01-07,Water Under The Bridge,Adele,51,False,,51,61,7
2017-01-07,You Was Right,Lil Uzi Vert,52,False,,49,58,24
2017-01-07,No Heart,21 Savage & Metro Boomin,53,False,,53,55,9
2017-01-07,Neighbors,J. Cole,54,False,,13,13,2
2017-01-07,Used To This,Future Featuring Drake,55,False,,14,64,7
2017-01-07,How Far I'll Go,Auli'i Cravalho,56,False,,52,66,4
2017-01-07,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",57,False,,27,60,20
2017-01-07,Party,Chris Brown Featuring Usher & Gucci Mane,58,True,,58,0,1
2017-01-07,Immortal,J. Cole,59,False,,11,11,2
2017-01-07,May We All,Florida Georgia Line Featuring Tim McGraw,60,False,,30,56,17
2017-01-07,Say You Won't Let Go,James Arthur,61,False,,60,65,9
2017-01-07,Wanna Be That Song,Brett Eldredge,62,False,,53,59,12
2017-01-07,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,63,False,,61,74,18
2017-01-07,Better Man,Little Big Town,64,False,,53,68,8
2017-01-07,Chantaje,Shakira Featuring Maluma,65,False,,65,71,6
2017-01-07,Dirty Laundry,Carrie Underwood,66,False,,66,70,10
2017-01-07,1 Night,Lil Yachty,67,False,,49,73,20
2017-01-07,Redbone,Childish Gambino,68,False,,48,75,4
2017-01-07,Sneakin',Drake Featuring 21 Savage,69,False,,28,72,9
2017-01-07,Million Reasons,Lady Gaga,70,False,,52,62,7
2017-01-07,A Guy With A Girl,Blake Shelton,71,False,,71,79,6
2017-01-07,Just Hold On,Steve Aoki & Louis Tomlinson,72,False,,52,52,2
2017-01-07,Song For Another Time,Old Dominion,73,False,,59,69,13
2017-01-07,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,74,False,,43,76,19
2017-01-07,Make Me (Cry),Noah Cyrus Featuring Labrinth,75,False,,75,0,2
2017-01-07,Star Of The Show,Thomas Rhett,76,False,,76,84,8
2017-01-07,HandClap,Fitz And The Tantrums,77,False,,63,80,13
2017-01-07,How I'll Always Be,Tim McGraw,78,False,,78,85,10
2017-01-07,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,79,False,,79,90,3
2017-01-07,Alone,Marshmello,80,False,,80,99,4
2017-01-07,How Far I'll Go,Alessia Cara,81,False,,81,94,3
