Date,Title,Artist,Rank,IsNew
2020-01-04,Yellow Hearts,Ant Saunders,94,False
2020-01-04,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,95,False
2020-01-04,Candy,Doja Cat,96,False
2020-01-04,BEST ON EARTH,Russ & BIA,97,False
2020-01-04,Tusa,Karol G & Nicki Minaj,98,False
2020-01-04,Enemies,Post Malone Featuring DaBaby,99,False
2020-01-04,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,100,False
2020-01-11,Circles,Post Malone,1,False
2020-01-11,Memories,Maroon 5,2,False
2020-01-11,The Box,Roddy Ricch,3,False
2020-01-11,Someone You Loved,Lewis Capaldi,4,False
2020-01-11,Roxanne,Arizona Zervas,5,False
2020-01-11,Good As Hell,Lizzo,6,False
2020-01-11,Dance Monkey,Tones And I,7,False
2020-01-11,HIGHEST IN THE ROOM,Travis Scott,8,False
2020-01-11,"10,000 Hours",Dan + Shay & Justin Bieber,9,False
2020-01-11,Lose You To Love Me,Selena Gomez,10,False
2020-01-11,Senorita,Shawn Mendes & Camila Cabello,11,False
2020-01-11,Ballin',Mustard & Roddy Ricch,12,False
2020-01-11,BOP,DaBaby,13,False
2020-01-11,Bad Guy,Billie Eilish,14,False
2020-01-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15,False
2020-01-11,No Guidance,Chris Brown Featuring Drake,16,False
2020-01-11,Panini,Lil Nas X,17,False
2020-01-11,Truth Hurts,Lizzo,18,False
2020-01-11,Trampoline,SHAED,19,False
2020-01-11,Heartless,The Weeknd,20,False
2020-01-11,Don't Start Now,Dua Lipa,21,False
2020-01-11,Bandit,Juice WRLD & YoungBoy Never Broke Again,22,False
2020-01-11,Everything I Wanted,Billie Eilish,23,False
2020-01-11,Hot,Young Thug Featuring Gunna,24,False
2020-01-11,Only Human,Jonas Brothers,25,False
2020-01-11,One Man Band,Old Dominion,26,False
2020-01-11,Woah,Lil Baby,27,False
2020-01-11,I Don't Care,Ed Sheeran & Justin Bieber,28,False
2020-01-11,Sucker,Jonas Brothers,29,False
2020-01-11,Even Though I'm Leaving,Luke Combs,30,False
2020-01-11,Falling,Trevor Daniel,31,False
2020-01-11,Hot Girl Bummer,blackbear,32,False
2020-01-11,Ran$om,Lil Tecca,33,False
2020-01-11,Lover,Taylor Swift,34,False
2020-01-11,Adore You,Harry Styles,35,False
2020-01-11,The Bones,Maren Morris,36,False
2020-01-11,Graveyard,Halsey,37,False
2020-01-11,Out West,JACKBOYS Featuring Young Thug,38,True
2020-01-11,On Chill,Wale Featuring Jeremih,39,False
2020-01-11,Talk,Khalid,40,False
2020-01-11,Suicidal,YNW Melly & Juice WRLD,41,False
2020-01-11,Beautiful People,Ed Sheeran Featuring Khalid,42,False
2020-01-11,Suge,DaBaby,43,False
2020-01-11,Futsal Shuffle 2020,Lil Uzi Vert,44,False
2020-01-11,Juicy,Doja Cat & Tyga,45,False
2020-01-11,No Idea,Don Toliver,46,False
2020-01-11,Baby,Lil Baby & DaBaby,47,False
2020-01-11,GANG GANG,JACKBOYS & Sheck Wes,48,True
2020-01-11,What If I Never Get Over You,Lady Antebellum,49,False
2020-01-11,My Oh My,Camila Cabello Featuring DaBaby,50,False
2020-01-11,Ridin' Roads,Dustin Lynch,51,False
2020-01-11,HAD ENOUGH,Don Toliver Featuring Quavo & Offset,52,True
2020-01-11,Heat,Chris Brown Featuring Gunna,53,False
2020-01-11,Playing Games,Summer Walker,54,False
2020-01-11,Into The Unknown,Idina Menzel & AURORA,55,False
2020-01-11,WHAT TO DO?,JACKBOYS Featuring Don Toliver,56,True
2020-01-11,VIBEZ,DaBaby,57,False
2020-01-11,Heartache Medication,Jon Pardi,58,False
2020-01-11,Blinding Lights,The Weeknd,59,False
2020-01-11,Kinfolks,Sam Hunt,60,False
2020-01-11,Remember You Young,Thomas Rhett,61,False
2020-01-11,Heart On Ice,Rod Wave,62,False
2020-01-11,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,63,False
2020-01-11,Homesick,Kane Brown,64,False
2020-01-11,Camelot,NLE Choppa,65,False
2020-01-11,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,66,False
2020-01-11,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",67,False
2020-01-11,Start Wit Me,Roddy Ricch & Gunna,68,False
