Artist,Spotify_Artist,Track,Track_ID
Sheck Wes,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr
Lil' Duval Featuring Snoop Dogg & Ball Greezy,Lil' Duval,Smile (Living My Best Life),17jeLyQcEUmKv3MXeEo79k
Chris Janson,Chris Janson,Drunk Girl,1kFBLqkTuNKlspkJ1EOGjN
Charlie Puth,Charlie Puth,The Way I Am,6qNALlmZa1ESnCxJmXE1K9
Zedd & Elley Duhe,Zedd,Happy Now,4keoy2fqgwGnbWlm3ZVZFa
Eminem Featuring Joyner Lucas,Eminem,Lucky You,60SdxE8apGAxMiRrpbmLY0
Eminem,Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE
Eminem,Eminem,Fall,58QhkbaAkLFnn7JwAnAato
Eminem,Eminem,Kamikaze,2gsNpSn7VvvJuSrIDfRoYy
Eminem,Eminem,Greatest,2XTquzYQAdT1Hk78bOUwsv
Eminem Featuring Royce Da 5'9,Eminem,Not Alike,28FGV3ORH14MYORd7s5dlU
6ix9ine Featuring Anuel AA,6ix9ine,BEBE,6mKs2kkBgvf090H566n1pd
