Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2016-08-06,Can't Stop The Feeling!,Justin Timberlake,4,False,,1,2,11
2016-08-06,Don't Let Me Down,The Chainsmokers Featuring Daya,5,False,,3,5,23
2016-08-06,Ride,twenty one pilots,6,False,,6,6,19
2016-08-06,Needed Me,Rihanna,7,False,,7,7,25
2016-08-06,Don't Mind,Kent Jones,8,False,,8,9,12
2016-08-06,Panda,Desiigner,9,False,,1,8,22
2016-08-06,Send My Love (To Your New Lover),Adele,10,False,,10,10,10
2016-08-06,Rise,Katy Perry,11,True,,11,0,1
2016-08-06,Just Like Fire,P!nk,12,False,,10,11,14
2016-08-06,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,13,False,,4,12,21
2016-08-06,Me Too,Meghan Trainor,14,False,,14,15,10
2016-08-06,H.O.L.Y.,Florida Georgia Line,15,False,,14,14,12
2016-08-06,I Took A Pill In Ibiza,Mike Posner,16,False,,4,13,27
2016-08-06,Make Me...,Britney Spears Featuring G-Eazy,17,True,,17,0,1
2016-08-06,Controlla,Drake,18,False,,16,16,12
2016-08-06,For Free,DJ Khaled Featuring Drake,19,False,,17,17,7
2016-08-06,Too Good,Drake Featuring Rihanna,20,False,,19,19,12
2016-08-06,Treat You Better,Shawn Mendes,21,False,,20,20,7
2016-08-06,Heathens,twenty one pilots,22,False,,14,23,5
2016-08-06,Work,Rihanna Featuring Drake,23,False,,1,21,26
2016-08-06,Into You,Ariana Grande,24,False,,24,33,10
2016-08-06,Never Be Like You,Flume Featuring Kai,25,False,,25,26,16
2016-08-06,7 Years,Lukas Graham,26,False,,2,22,27
2016-08-06,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,27,False,,27,35,7
2016-08-06,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,28,False,,28,29,5
2016-08-06,Stressed Out,twenty one pilots,29,False,,2,25,44
2016-08-06,I Got The Keys,DJ Khaled Featuring Jay Z & Future,30,False,,30,34,4
2016-08-06,Sorry,Beyonce,31,False,,11,28,13
2016-08-06,Let It Go,James Bay,32,False,,16,18,31
2016-08-06,Low Life,Future Featuring The Weeknd,33,False,,18,32,24
2016-08-06,Broccoli,D.R.A.M. Featuring Lil Yachty,34,False,,34,39,6
2016-08-06,I Hate U I Love U,gnash Featuring Olivia O'Brien,35,False,,35,50,14
2016-08-06,Dangerous Woman,Ariana Grande,36,False,,8,24,19
2016-08-06,Love Yourself,Justin Bieber,37,False,,1,30,36
2016-08-06,My House,Flo Rida,38,False,,4,36,37
2016-08-06,Cake By The Ocean,DNCE,39,False,,9,37,40
2016-08-06,Gold,Kiiara,40,False,,40,45,9
2016-08-06,Close,Nick Jonas Featuring Tove Lo,41,False,,14,31,17
2016-08-06,THat Part,ScHoolboy Q Featuring Kanye West,42,False,,42,43,7
2016-08-06,Lost Boy,Ruth B,43,False,,24,27,22
2016-08-06,Wicked,Future,44,False,,41,41,14
2016-08-06,Sorry,Justin Bieber,45,False,,1,42,39
2016-08-06,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",46,False,,27,38,17
2016-08-06,Vice,Miranda Lambert,47,True,,47,0,1
2016-08-06,From The Ground Up,Dan + Shay,48,False,,48,59,9
2016-08-06,Never Forget You,Zara Larsson & MNEK,49,False,,13,40,23
2016-08-06,Kill Em With Kindness,Selena Gomez,50,False,,39,51,8
2016-08-06,Hymn For The Weekend,Coldplay,51,False,,51,54,8
2016-08-06,Church Bells,Carrie Underwood,52,False,,43,47,11
2016-08-06,Record Year,Eric Church,53,False,,52,52,14
2016-08-06,Toothbrush,DNCE,54,False,,44,44,6
2016-08-06,Head Over Boots,Jon Pardi,55,False,,54,56,21
