Artist,Spotify_Artist,Track,Track_ID
Bing Crosby,Bing Crosby,I'll Be Home For Christmas,not found
Parmalee x Blanco Brown,Parmalee x Blanco Brown,Just The Way,not found
Black Eyed Peas X Shakira,Black Eyed Peas X Shakira,Girl Like Me,not found
Lil Durk Featuring Pooh Shiesty,Lil Durk,Should've Ducked,not found
Dua Lipa,Dua Lipa,We're Good,not found
Silk Sonic (Bruno Mars & Anderson .Paak),Silk Sonic (Bruno Mars,Leave The Door Open,not found
Lil Durk,Lil Durk,Hellcats & Trackhawks,not found
Chris Young + Kane Brown,Chris Young + Kane Brown,Famous Friends,not found
Rod Wave,Rod Wave,Don't Forget,not found
"J. Cole, 21 Savage & Morray","J. Cole, 21 Savage",my.life,not found
J. Cole,J. Cole,amari,not found
J. Cole & Lil Baby,J. Cole,pride.is.the.devil,not found
J. Cole,J. Cole,95.south,not found
J. Cole,J. Cole,applying.pressure,not found
J. Cole & Bas,J. Cole,100.mil',not found
"J. Cole, Bas & 6LACK","J. Cole, Bas",let.go.my.hand,not found
J. Cole,J. Cole,punchin'.the.clock,not found
J. Cole & Bas,J. Cole,hunger.on.hillside,not found
Marshmello X Jonas Brothers,Marshmello X Jonas Brothers,Leave Before You Love Me,not found
Chase Rice Featuring Florida Georgia Line,Chase Rice,Drinkin' Beer. Talkin' God. Amen.,not found
MO3 X OG Bobby Billions,MO3 X OG Bobby Billions,Outside,not found
Lil Baby & Lil Durk,Lil Baby,Man Of My Word,not found
